x,0.3971,0.3379,0.1154,0.1414,0.1423,0.1422,0.1415,0.1414,0.1414,0.1412,0.1412,0.1411,0.1411,0.141,0.1411,0.1411,0.1409,0.1409,0.1409,0.1408,0.1408,0.1408,0.1406
y,0.336,0.5556,0.3415,0.041,0.0391,0.0404,0.0399,0.0403,0.0409,0.0407,0.0408,0.0409,0.0412,0.0409,0.0411,0.0413,0.0411,0.0411,0.0413,0.0412,0.0411,0.0413,0.0415
,,,,,,,,,,,,,,,,,,,,,,,
ipRGC-Influenced Responses to Light,,,,,,,,,,,,,,,,,,,,,,,
392,0.00E+00,0.00E+00,9.01E-08,0.00E+00,4.35E-08,1.11E-08,1.64E-07,0.00E+00,0.00E+00,6.81E-08,2.81E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.72E-07,2.88E-07,0.00E+00,0.00E+00,0.00E+00
393,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.67E-07,1.21E-08,0.00E+00,5.81E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.38E-07,2.63E-08,3.58E-07,3.71E-07,3.70E-07
394,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.22E-07,2.42E-07,0.00E+00,3.44E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.99E-08,0.00E+00,0.00E+00,3.02E-06,5.28E-07,0.00E+00,0.00E+00,8.75E-08
395,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.62E-07,0.00E+00,0.00E+00,2.11E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.50E-07,1.18E-07,0.00E+00,3.06E-06,0.00E+00,0.00E+00,0.00E+00,2.19E-07
396,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.88E-07,0.00E+00,4.34E-07,0.00E+00,1.55E-07,1.15E-07,0.00E+00,0.00E+00,1.25E-07,0.00E+00,0.00E+00,0.00E+00,1.09E-07,0.00E+00,4.17E-06,4.15E-07,0.00E+00,2.32E-07,6.71E-06
397,7.23E-08,0.00E+00,7.23E-08,0.00E+00,6.05E-08,0.00E+00,1.39E-07,0.00E+00,4.97E-08,4.77E-07,0.00E+00,0.00E+00,4.02E-08,0.00E+00,0.00E+00,2.08E-07,0.00E+00,0.00E+00,8.04E-06,1.33E-07,2.94E-07,7.45E-08,7.02E-06
398,4.52E-10,4.48E-08,4.52E-10,0.00E+00,2.55E-06,0.00E+00,1.76E-07,0.00E+00,0.00E+00,1.51E-07,0.00E+00,1.84E-07,0.00E+00,0.00E+00,0.00E+00,1.30E-09,0.00E+00,0.00E+00,1.96E-06,6.41E-06,3.66E-07,0.00E+00,8.31E-06
399,0.00E+00,0.00E+00,0.00E+00,1.69E-08,3.34E-06,1.36E-08,0.00E+00,0.00E+00,0.00E+00,1.21E-07,4.38E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.29E-07,0.00E+00,3.51E-06,5.55E-07,0.00E+00,0.00E+00,1.24E-06
400,1.73E-08,0.00E+00,0.00E+00,5.67E-08,2.61E-06,4.55E-08,3.40E-08,0.00E+00,0.00E+00,0.00E+00,1.04E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.29E-06,0.00E+00,1.34E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00
401,1.95E-08,0.00E+00,0.00E+00,0.00E+00,7.99E-07,4.16E-08,2.42E-07,0.00E+00,0.00E+00,8.55E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.04E-06,0.00E+00,3.24E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00
402,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.18E-07,1.73E-08,8.46E-08,0.00E+00,1.94E-07,3.54E-08,0.00E+00,0.00E+00,4.70E-07,0.00E+00,0.00E+00,0.00E+00,7.09E-06,0.00E+00,7.66E-08,0.00E+00,0.00E+00,5.82E-07,5.23E-06
403,0.00E+00,0.00E+00,4.35E-08,0.00E+00,6.98E-09,0.00E+00,0.00E+00,0.00E+00,1.15E-08,4.31E-07,0.00E+00,0.00E+00,2.78E-08,2.08E-07,0.00E+00,0.00E+00,3.56E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.01E-07,1.41E-06
